Probe_ID	Gene_Symbol
3400600	ADAMTS2
7150609	ADAMTS2
2650592	ADAMTS20
4010035	ADAMTS20
4060747	ADAMTS20
2120364	ADAMTS3
1660497	ADAMTS4
6180332	ADAMTS5
20100	ADAMTS6
240673	ADAMTS7
3440451	ADAMTS7
2480239	ADAMTS8
1570382	ADAMTS9
580747	ADAMTSL1
2470044	ADAMTSL1
3140368	ADAMTSL1
5890326	ADAMTSL1
6180209	ADAMTSL1
4810575	ADAMTSL2
5130400	ADAMTSL3
10286	ADAMTSL4
780315	ADAMTSL4
780678	ADAMTSL4
3460356	ADAMTSL5
7570669	ADAP1
3990433	ADAP2
2900450	ADAR
5130612	ADAR
5490433	ADAR
2320228	ADARB1
4760079	ADARB1
6520072	ADARB1
7330097	ADARB1
6110519	ADARB2
1710204	ADAT1
2760725	ADAT2
2230253	ADAT3
130707	ADC
780379	ADCK1
1780647	ADCK2
4290053	ADCK4
2480709	ADCK5
580561	ADCY1
610592	ADCY1
5690100	ADCY10
2970288	ADCY2
3800050	ADCY3
6330224	ADCY4
1030187	ADCY5
2190463	ADCY6
3120600	ADCY6
50735	ADCY7
5310431	ADCY8
3060100	ADCY9
3060064	ADCYAP1
7100020	ADCYAP1R1
1230289	ADD1
5900685	ADD1
2600609	ADD2
2630021	ADD2
6040601	ADD2
6250193	ADD2
730747	ADD3
1010477	ADD3
1990468	ADD3
3420747	ADD3
3370347	ADH1A
2490612	ADH1B
1510750	ADH1C
5490382	ADH4
7550632	ADH4
5720161	ADH5
3800368	ADH6
3520709	ADH7
2760121	ADHFE1
3890598	ADHFE1
6620278	ADI1
3800722	ADIG
4200471	ADIPOQ
3460201	ADIPOR1
6100767	ADIPOR1
6960685	ADIPOR2
1030241	ADK
3130450	ADK
7100414	ADK
7550161	ADK
5670465	ADM
3610626	ADM2
360678	ADNP
1770551	ADNP
7330270	ADNP2
4480546	ADO
2100110	ADORA1
3830148	ADORA1
4060519	ADORA1
7560440	ADORA2A
2060040	ADORA2B
870138	ADORA3
6580482	ADORA3
5550619	ADPGK
5550369	ADPRH
1990070	ADPRHL1
3390735	ADPRHL1
5570446	ADPRHL1
730010	ADPRHL2
780670	ADRA1A
1070315	ADRA1A
1110731	ADRA1A
2690500	ADRA1A
4590215	ADRA1A
2140022	ADRA1B
1340630	ADRA1D
5720523	ADRA2A
3390286	ADRA2B
870474	ADRA2C
3460672	ADRA2C
